gisjoin,year,state,district,district_code,median_household_income,income_moe
G48020250,2020-2024,Texas,Galena Park ISD,20250,57350.0,5533.0
G48020280,2020-2024,Texas,Galveston ISD,20280,56708.0,3726.0
G48020310,2020-2024,Texas,Ganado ISD,20310,81826.0,18563.0
G48020340,2020-2024,Texas,Garland ISD,20340,82979.0,2461.0
G48020370,2020-2024,Texas,Garner ISD,20370,107128.0,13784.0
G48020400,2020-2024,Texas,Garrison ISD,20400,59130.0,6549.0
G48020460,2020-2024,Texas,Gary ISD,20460,65313.0,19401.0
G48020500,2020-2024,Texas,Gatesville ISD,20500,70998.0,5747.0
G48020520,2020-2024,Texas,Gause ISD,20520,65313.0,19676.0
G48020550,2020-2024,Texas,George West ISD,20550,56342.0,11929.0
G48020600,2020-2024,Texas,Georgetown ISD,20600,104990.0,4395.0
G48020610,2020-2024,Texas,Gholson ISD,20610,77841.0,16221.0
G48020640,2020-2024,Texas,Giddings ISD,20640,72518.0,15025.0
G48020700,2020-2024,Texas,Gilmer ISD,20700,52688.0,4955.0
G48020760,2020-2024,Texas,Gladewater ISD,20760,62593.0,6403.0
G48020790,2020-2024,Texas,Glasscock County ISD,20790,101250.0,53302.0
G48020850,2020-2024,Texas,Glen Rose ISD,20850,82353.0,23559.0
G48020960,2020-2024,Texas,Godley ISD,20960,92786.0,13470.0
G48020970,2020-2024,Texas,Gold-Burg ISD,20970,63500.0,12622.0
G48021000,2020-2024,Texas,Goldthwaite CISD,21000,70250.0,11406.0
G48021030,2020-2024,Texas,Goliad ISD,21030,59359.0,7643.0
G48021060,2020-2024,Texas,Gonzales ISD,21060,59081.0,6510.0
G48021090,2020-2024,Texas,Goodrich ISD,21090,56106.0,16859.0
G48021150,2020-2024,Texas,Goose Creek CISD,21150,66497.0,3398.0
G48021180,2020-2024,Texas,Gordon ISD,21180,96750.0,11838.0
G48021270,2020-2024,Texas,Gorman ISD,21270,50542.0,14006.0
G48021300,2020-2024,Texas,Grady ISD,21300,111250.0,43163.0
G48021330,2020-2024,Texas,Graford ISD,21330,61051.0,7901.0
G48021360,2020-2024,Texas,Graham ISD,21360,75442.0,8910.0
G48021390,2020-2024,Texas,Granbury ISD,21390,88608.0,6507.0
G48021420,2020-2024,Texas,Grand Prairie ISD,21420,75791.0,2581.0
G48021450,2020-2024,Texas,Grand Saline ISD,21450,58750.0,11882.0
G48021480,2020-2024,Texas,Grandfalls-Royalty ISD,21480,68472.0,21720.0
G48021540,2020-2024,Texas,Grandview ISD,21540,87389.0,12680.0
G48021560,2020-2024,Texas,Grandview-Hopkins ISD,21560,58750.0,24177.0
G48021590,2020-2024,Texas,Granger ISD,21590,76522.0,19055.0
G48021600,2020-2024,Texas,Grape Creek ISD,21600,72147.0,23594.0
G48021630,2020-2024,Texas,Grapeland ISD,21630,60012.0,17355.0
G48021660,2020-2024,Texas,Grapevine-Colleyville ISD,21660,117626.0,6703.0
G48021720,2020-2024,Texas,Greenville ISD,21720,66514.0,3730.0
