district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct
BOYS RANCH ISD,180901,Spring 2026,169,121.0,71.59763313609467
BRACKETT ISD,136901,Spring 2026,181,162.0,89.50276243093923
BRADY ISD,160901,Spring 2026,266,230.0,86.46616541353383
BRAZOS ISD,008903,Spring 2026,348,316.0,90.80459770114942
BRAZOSPORT ISD,020905,Spring 2026,4605,3603.0,78.24104234527687
BRECKENRIDGE ISD,215901,Spring 2026,490,409.0,83.46938775510205
BREMOND ISD,198901,Spring 2026,250,241.0,96.39999999999999
BRENHAM ISD,239901,Spring 2026,1944,1604.0,82.51028806584361
BRIDGE CITY ISD,181901,Spring 2026,1162,980.0,84.33734939759037
BRIDGEPORT ISD,249903,Spring 2026,874,722.0,82.6086956521739
BROADDUS ISD,203902,Spring 2026,127,124.0,97.63779527559055
BROCK ISD,184909,Spring 2026,763,722.0,94.62647444298821
BRONTE ISD,041901,Spring 2026,62,55.0,88.70967741935483
BROOKELAND ISD,121902,Spring 2026,111,101.0,90.990990990991
BROOKESMITH ISD,025908,Spring 2026,155,103.0,66.45161290322581
BROOKS COUNTY ISD,024901,Spring 2026,488,356.0,72.95081967213115
BROWNFIELD ISD,223901,Spring 2026,610,454.0,74.42622950819671
BROWNSBORO ISD,107902,Spring 2026,1042,897.0,86.08445297504798
BROWNSVILLE ISD,031901,Spring 2026,13443,11400.0,84.80249944208882
BROWNWOOD ISD,025902,Spring 2026,1138,934.0,82.0738137082601
BRUCEVILLE-EDDY ISD,161919,Spring 2026,226,198.0,87.61061946902655
BRYAN ISD,021902,Spring 2026,6201,4448.0,71.73036606998872
BRYSON ISD,119901,Spring 2026,109,98.0,89.90825688073394
BUCKHOLTS ISD,166907,Spring 2026,42,30.0,71.42857142857143
BUENA VISTA ISD,186901,Spring 2026,99,81.0,81.81818181818183
BUFFALO ISD,145901,Spring 2026,367,322.0,87.73841961852861
BULLARD ISD,212902,Spring 2026,1204,1105.0,91.77740863787376
BUNA ISD,121903,Spring 2026,530,457.0,86.22641509433963
BURKBURNETT ISD,243901,Spring 2026,1143,969.0,84.7769028871391
BURKEVILLE ISD,176901,Spring 2026,110,78.0,70.9090909090909
BURLESON ISD,126902,Spring 2026,5415,4588.0,84.72760849492151
BURNET CISD,027903,Spring 2026,1314,1095.0,83.33333333333334
BURTON ISD,239903,Spring 2026,211,196.0,92.89099526066352
BUSHLAND ISD,188904,Spring 2026,573,528.0,92.14659685863874
BYNUM ISD,109902,Spring 2026,58,51.0,87.93103448275862
CADDO MILLS ISD,116901,Spring 2026,1228,1118.0,91.04234527687296
CALALLEN ISD,178903,Spring 2026,1473,1315.0,89.27359131025119
CALDWELL ISD,026901,Spring 2026,700,599.0,85.57142857142857
CALHOUN COUNTY ISD,029901,Spring 2026,1317,1070.0,81.2452543659833
CALLISBURG ISD,049905,Spring 2026,434,369.0,85.02304147465438
CALVERT ISD,198902,Spring 2026,40,30.0,75.0
CAMERON ISD,166901,Spring 2026,544,440.0,80.88235294117648
CAMPBELL ISD,116910,Spring 2026,122,103.0,84.42622950819673
CANADIAN ISD,106901,Spring 2026,290,259.0,89.3103448275862
CANTON ISD,234902,Spring 2026,862,803.0,93.15545243619489
CANUTILLO ISD,071907,Spring 2026,2120,1692.0,79.81132075471699
CANYON ISD,191901,Spring 2026,4640,4051.0,87.30603448275862
CARLISLE ISD,201913,Spring 2026,203,190.0,93.59605911330048
CARRIZO SPRINGS CISD,064903,Spring 2026,719,554.0,77.05146036161335
CARROLL ISD,220919,Spring 2026,3271,3164.0,96.72882910424947
CARROLLTON-FARMERS BRANCH ISD,057903,Spring 2026,9073,6671.0,73.52584591645541
CARTHAGE ISD,183902,Spring 2026,921,849.0,92.18241042345277
CASTLEBERRY ISD,220917,Spring 2026,1534,1217.0,79.33507170795306
CAYUGA ISD,001902,Spring 2026,250,235.0,94.0
CEDAR HILL ISD,057904,Spring 2026,2793,2051.0,73.43358395989975
CELESTE ISD,116902,Spring 2026,171,152.0,88.88888888888889
CELINA ISD,043903,Spring 2026,2170,1969.0,90.73732718894009
CENTER ISD,210901,Spring 2026,864,715.0,82.75462962962963
CENTER POINT ISD,133901,Spring 2026,229,178.0,77.72925764192141
CENTERVILLE ISD,145902,Spring 2026,220,179.0,81.36363636363636
CENTERVILLE ISD,228904,Spring 2026,81,74.0,91.35802469135803
CENTRAL HEIGHTS ISD,174908,Spring 2026,437,407.0,93.13501144164759
CENTRAL ISD,003907,Spring 2026,539,449.0,83.30241187384044
CHANNELVIEW ISD,101905,Spring 2026,3843,2912.0,75.77413479052824
CHANNING ISD,103901,Spring 2026,46,29.0,63.04347826086957
CHAPEL HILL ISD,212909,Spring 2026,1295,979.0,75.59845559845559
CHAPEL HILL ISD,225906,Spring 2026,339,321.0,94.69026548672566
CHARLOTTE ISD,007901,Spring 2026,159,135.0,84.90566037735849
CHEROKEE ISD,206903,Spring 2026,67,56.0,83.5820895522388
CHESTER ISD,229906,Spring 2026,88,78.0,88.63636363636364
CHICO ISD,249904,Spring 2026,218,185.0,84.86238532110092
CHILDRESS ISD,038901,Spring 2026,356,316.0,88.76404494382022
CHILLICOTHE ISD,099902,Spring 2026,62,51.0,82.25806451612904
CHILTON ISD,073901,Spring 2026,199,176.0,88.44221105527639
CHINA SPRING ISD,161920,Spring 2026,1211,1134.0,93.64161849710982
CHIRENO ISD,174901,Spring 2026,154,135.0,87.66233766233766
CHISUM ISD,139905,Spring 2026,453,385.0,84.98896247240619
CHRISTOVAL ISD,226901,Spring 2026,253,244.0,96.44268774703558
CISCO ISD,067902,Spring 2026,285,276.0,96.84210526315789
CITY VIEW ISD,243906,Spring 2026,417,364.0,87.29016786570743
CLARENDON ISD,065901,Spring 2026,121,103.0,85.12396694214877
CLARKSVILLE ISD,194904,Spring 2026,213,153.0,71.83098591549296
CLAUDE ISD,006902,Spring 2026,125,120.0,96.0
CLEAR CREEK ISD,084910,Spring 2026,16426,14820.0,90.22281748447583
CLEBURNE ISD,126903,Spring 2026,2708,2139.0,78.98818316100443
CLEVELAND ISD,146901,Spring 2026,5500,3383.0,61.509090909090915
CLIFTON ISD,018901,Spring 2026,374,328.0,87.70053475935828
CLINT ISD,071901,Spring 2026,3963,3214.0,81.10017663386323
CLYDE CISD,030902,Spring 2026,564,516.0,91.48936170212765
